Symbol,Date,Range,Range_MA_5,Range_MA_10,Range_MA_20,RangeCompression_5_vs_20,RangeCompression_10_vs_20,Overlap_Ratio,Overlap_Ratio_MA_5,Overlap_Ratio_MA_10,DirectionalEfficiency_5,DirectionalEfficiency_10,DirectionalEfficiency_20
GBPUSD,2002-02-21,0.005400000000000071,0.007640000000000003,0.00874999999999999,0.00957499999999999,0.7979112271540482,0.9138381201044387,0.5740740740740855,0.7496598765948631,0.6539061272537493,0.4880000000000017,0.29973474801060246,0.2429530201342245
GBPUSD,2002-02-22,0.010399999999999965,0.008240000000000025,0.008949999999999991,0.009104999999999985,0.9049972542559076,0.9829763866007695,0.4807692307692435,0.7079758849108744,0.6484116217592455,0.3246753246753258,0.29973474801060657,0.3019801980198001
GBPUSD,2002-02-25,0.009000000000000119,0.008680000000000066,0.008630000000000004,0.009160000000000001,0.9475982532751163,0.9421397379912667,0.9888888888888903,0.7175183685710043,0.698120182779282,0.31372549019607354,0.2056338028169007,0.1333333333333337
GBPUSD,2002-02-26,0.014399999999999968,0.009280000000000043,0.008739999999999993,0.009339999999999992,0.9935760171306265,0.9357601713062098,0.3124999999999971,0.6712464387464433,0.7030543933055973,0.4166666666666628,0.2914572864321585,0.018701870187018996
GBPUSD,2002-02-27,0.007099999999999884,0.009260000000000001,0.00855999999999999,0.009264999999999978,0.9994603345925551,0.9239071775499201,1.0,0.6712464387464433,0.7176611348786295,0.2964426877470281,0.2914572864321585,0.09421112372304116
GBPUSD,2002-02-28,0.009399999999999853,0.010059999999999958,0.00884999999999998,0.00935499999999998,1.0753607696419005,0.9460181721004809,0.6170212765957336,0.6798358792507729,0.714747877922818,0.813725490196077,0.3934837092731793,0.00709219858156207
GBPUSD,2002-03-01,0.008499999999999952,0.009679999999999956,0.00895999999999999,0.009154999999999979,1.0573457127252843,0.9787001638448947,0.5764705882352861,0.6989761507439815,0.7034760178274279,0.5259259259259398,0.2776280323450118,0.05793450881612265
GBPUSD,2002-03-04,0.009600000000000053,0.009799999999999942,0.009240000000000003,0.009134999999999982,1.0727969348658963,1.0114942528735655,0.8645833333333258,0.6741150396328685,0.6958167041019363,0.5882352941176483,0.22164948453608,0.09585492227979323
GBPUSD,2002-03-05,0.008000000000000007,0.00851999999999995,0.008899999999999996,0.008929999999999983,0.9540873460246322,0.9966405375139993,0.9625000000000041,0.80411503963287,0.7376807391896566,0.543478260869561,0.08831908831909091,0.15353805073430948
GBPUSD,2002-03-06,0.005800000000000027,0.00825999999999998,0.00875999999999999,0.008914999999999984,0.9265283230510369,0.9826135726303988,0.9482758620689714,0.7937702120466642,0.7325083253965536,0.690476190476215,0.10614525139664306,0.1129032258064534
GBPUSD,2002-03-07,0.013000000000000123,0.008980000000000033,0.009519999999999995,0.009134999999999994,0.9830322933771253,1.042145593869732,0.44615384615384407,0.7595967259582863,0.7197163026045297,0.79032258064518,0.16129032258064893,0.16243654822334885
GBPUSD,2002-03-08,0.009399999999999853,0.009160000000000012,0.009419999999999984,0.009184999999999988,0.9972781709308681,1.0255851932498634,1.0,0.844302608311229,0.7716393795276053,0.0,0.07142857142857194,0.011734028683182796
GBPUSD,2002-03-11,0.0047000000000001485,0.008180000000000031,0.008989999999999988,0.008809999999999995,0.9284903518728758,1.0204313280363215,0.8723404255318857,0.8458540267509409,0.7599845331919048,0.2933333333333369,0.09578544061302637,0.18624641833811043
GBPUSD,2002-03-12,0.011900000000000022,0.008960000000000034,0.008739999999999993,0.008739999999999993,1.0251716247139635,1.0,0.21008403361345918,0.6953708334736322,0.749742936553251,0.394285714285725,0.11428571428571926,0.1850789096126272
GBPUSD,2002-03-13,0.008899999999999908,0.00958000000000001,0.008919999999999994,0.008739999999999993,1.0961098398169358,1.0205949656750575,1.0,0.7057156610598379,0.749742936553251,1.0,0.08148148148148233,0.23076923076923125
GBPUSD,2002-03-14,0.008500000000000174,0.008680000000000021,0.008830000000000027,0.008840000000000004,0.9819004524886897,0.9988687782805455,0.4117647058823514,0.6988378330055391,0.7292172794819127,0.18309859154929137,0.0730158730158799,0.16643741403026138
GBPUSD,2002-03-15,0.007500000000000062,0.008300000000000063,0.008730000000000038,0.008845000000000014,0.9383832673827076,0.9869983041266279,0.40000000000001185,0.5788378330055416,0.7115702206583854,0.3509933774834517,0.058064516129034016,0.04931506849314848
GBPUSD,2002-03-18,0.007099999999999884,0.00878000000000001,0.00848000000000002,0.008860000000000012,0.9909706546275393,0.9571106094808136,0.929577464788739,0.5902852408569123,0.7180696338039267,0.8307692307692481,0.08176100628931415,0.07132867132867
GBPUSD,2002-03-19,0.009799999999999809,0.008359999999999968,0.008660000000000001,0.00878,0.9521640091116137,0.9863325740318908,0.7244897959183697,0.6931663933178944,0.6942686133957633,0.5657894736842028,0.017751479289938962,0.05413105413105464
GBPUSD,2002-03-20,0.012299999999999978,0.009039999999999982,0.009309999999999995,0.009034999999999993,1.0005534034311,1.0304371887105703,0.7967479674796607,0.6525159868138266,0.6791158239368322,0.6162790697674349,0.0853994490358155,0.05943152454780592
GBPUSD,2002-03-21,0.009200000000000097,0.009179999999999966,0.008929999999999993,0.009224999999999994,0.9951219512195092,0.9680216802168021,0.902173913043466,0.7505978282460495,0.7247178306257943,0.11764705882352865,0.10674157303370836,0.08847184986595145
GBPUSD,2002-03-22,0.005300000000000082,0.00873999999999997,0.008520000000000017,0.00897,0.974358974358971,0.9498327759197343,0.962264150943401,0.8630506584347273,0.7209442457201345,0.025000000000010757,0.2012195121951191,0.013412816691503796
GBPUSD,2002-03-25,0.006599999999999939,0.008639999999999981,0.008709999999999996,0.008849999999999992,0.9762711864406768,0.9841807909604524,0.8030303030303229,0.8377412260830439,0.7140132334699782,0.21874999999999079,0.3539518900343619,0.15254237288135492
GBPUSD,2002-03-26,0.006500000000000172,0.007980000000000053,0.00817000000000001,0.008455,0.9438202247191073,0.9662921348314618,0.9692307692307393,0.886689420745518,0.7899279070317062,1.0,0.40714285714284837,0.12434325744308092
GBPUSD,2002-03-27,0.006899999999999906,0.00690000000000004,0.00797000000000001,0.008445000000000003,0.8170515097690986,0.9437537004144473,0.8115942028985689,0.8896586678292996,0.771087327321563,1.0,0.15833333333332353,0.13028169014084304
GBPUSD,2002-03-28,0.00550000000000006,0.006160000000000032,0.007669999999999999,0.008250000000000013,0.7466666666666694,0.9296969696969681,1.0,0.9092238852206064,0.829910856733328,0.15151515151513112,0.03809523809523326,0.13181019332161809
GBPUSD,2002-03-29,0.0037000000000000366,0.005840000000000023,0.007289999999999996,0.008010000000000017,0.7290886392010001,0.9101123595505594,1.0,0.9167710550319261,0.8899108567333268,0.028571428571424945,0.030612244897966698,0.05544933078393718
GBPUSD,2002-04-01,0.018299999999999983,0.008180000000000031,0.008410000000000006,0.008445000000000013,0.9686204854943775,0.995855535820011,0.10382513661202265,0.7769300217482662,0.807335623915655,0.804347826086956,0.5641025641025599,0.2549019607843157
GBPUSD,2002-04-02,0.006299999999999972,0.008139999999999991,0.008060000000000022,0.008360000000000012,0.9736842105263134,0.9641148325358865,1.0,0.7830838679021184,0.8348866443238181,0.5514018691588721,0.1773049645390005,0.19197707736389394
GBPUSD,2002-04-03,0.00550000000000006,0.007860000000000023,0.007380000000000031,0.008345000000000014,0.9418813660874787,0.8843618933493131,0.654545454545456,0.7516741182314958,0.8206663930303977,0.5049504950494988,0.3719008264462699,0.1221020092735698
GBPUSD,2002-04-04,0.007599999999999829,0.008279999999999977,0.007220000000000004,0.008074999999999999,1.025386996904022,0.8941176470588241,0.72368421052634,0.6964109603367638,0.8028174227786851,0.3484162895927584,0.2918287937743183,0.17096774193548156
