Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,2012.03.20,1.58906,1.58959,1.58300,1.58602,59249,UNKNOWN
GBPUSD,2012.03.21,1.58603,1.59222,1.58170,1.58656,66771,UNKNOWN
GBPUSD,2012.03.22,1.58655,1.58916,1.57690,1.58151,67363,UNKNOWN
GBPUSD,2012.03.23,1.58152,1.59072,1.58051,1.58663,63330,UNKNOWN
GBPUSD,2012.03.26,1.58712,1.59726,1.58008,1.59675,64037,UNKNOWN
GBPUSD,2012.03.27,1.59677,1.60001,1.59419,1.59463,59619,UNKNOWN
GBPUSD,2012.03.28,1.59463,1.59634,1.58416,1.58871,69239,UNKNOWN
GBPUSD,2012.03.29,1.58870,1.59570,1.58596,1.59507,71587,UNKNOWN
GBPUSD,2012.03.30,1.59510,1.60357,1.59462,1.60061,71863,UNKNOWN
GBPUSD,2012.04.02,1.60062,1.60617,1.59785,1.60198,68457,UNKNOWN
GBPUSD,2012.04.03,1.60209,1.60450,1.58907,1.59102,72226,UNKNOWN
GBPUSD,2012.04.04,1.59103,1.59128,1.58324,1.58896,75767,UNKNOWN
GBPUSD,2012.04.05,1.58896,1.59077,1.58042,1.58258,70212,UNKNOWN
GBPUSD,2012.04.06,1.58257,1.58894,1.58224,1.58645,41404,UNKNOWN
GBPUSD,2012.04.09,1.58895,1.59132,1.58352,1.58965,46985,UNKNOWN
GBPUSD,2012.04.10,1.58965,1.59296,1.58088,1.58603,76503,UNKNOWN
GBPUSD,2012.04.11,1.58602,1.59370,1.58513,1.59085,72910,UNKNOWN
GBPUSD,2012.04.12,1.59085,1.59835,1.59063,1.59578,71328,UNKNOWN
GBPUSD,2012.04.13,1.59577,1.59685,1.58406,1.58444,65437,UNKNOWN
GBPUSD,2012.04.16,1.58501,1.59094,1.58180,1.58960,71778,UNKNOWN
GBPUSD,2012.04.17,1.58960,1.59691,1.58617,1.59262,63918,UNKNOWN
GBPUSD,2012.04.18,1.59260,1.60414,1.58944,1.60170,71163,UNKNOWN
GBPUSD,2012.04.19,1.60169,1.60761,1.60085,1.60525,71694,UNKNOWN
GBPUSD,2012.04.20,1.60525,1.61483,1.60378,1.61215,65541,UNKNOWN
